question_id,question_type,question_fr,question_en,subtitle_fr,required,default_next_question,choice_id,choice_label_fr,choice_label_en,choice_icon,choice_tags,choice_next_question,routing_notes
location,text,"Où habitez-vous ?","Where do you live?","Code postal ou ville (ex: 75001 Paris)",true,origin_country,,,,,,,
origin_country,text,"De quel pays venez-vous ?","What country are you from?","Pour mieux adapter nos services",false,main_goal,,,,,,,"Q1b – Nouveau champ profil"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,learn_french,"Apprendre / améliorer mon français","Learn / improve my French",📖,"route_a,fle_priority",,"→ Route A (FLE)"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,find_job,"Trouver un emploi rapidement","Find a job quickly",💼,"route_c,job_priority",,"→ Route C (Emploi direct)"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,job_training,"Faire une formation pour un métier","Get vocational training",🎓,"route_b,training_priority",,"→ Route B (Formation qualifiante)"
main_goal,choice,"Quel est votre objectif principal ?","What is your main goal?",,false,contact_48h,need_help,"Je ne sais pas / besoin d'aide","I don't know / need help",🤝,"sas,needs_orientation",,"→ SAS Insertion"
contact_48h,choice,"Êtes-vous disponible pour être contacté sous 48h ?","Are you available to be contacted within 48h?","Un conseiller vous appellera pour vous aider",false,literacy,yes,"Oui, je suis disponible","Yes, I am available",✅,"reactive,contact_ok",,
contact_48h,choice,"Êtes-vous disponible pour être contacté sous 48h ?","Are you available to be contacted within 48h?","Un conseiller vous appellera pour vous aider",false,literacy,no,"Non, pas tout de suite","No, not right now",⏰,"a_relancer,nurturing",,
literacy,choice,"Savez-vous lire et écrire dans votre langue ?","Can you read and write in your language?",,false,french_level_cecrl,yes,"Oui, couramment","Yes, fluently",✅,literate,,
literacy,choice,"Savez-vous lire et écrire dans votre langue ?","Can you read and write in your language?",,false,french_level_cecrl,partial,"Un peu","A little",📝,partial_literate,,
literacy,choice,"Savez-vous lire et écrire dans votre langue ?","Can you read and write in your language?",,false,french_level_cecrl,no,"Non","No",❌,"non_literate,alpha_priority",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,alpha,"Débutant total / Je ne parle pas français","Complete beginner / I don't speak French",🆕,"alpha,level_0,fle_required",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,a1,"A1 - Je connais quelques mots et phrases","A1 - I know some words and phrases",📗,"a1,level_1,fle_required",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,a2,"A2 - Je me débrouille pour les choses simples","A2 - I can manage simple things",📘,"a2,level_2,job_ready_basic",,
french_level_cecrl,choice,"En français, vous êtes plutôt :","In French, you are:","Soyez honnête, cela nous aide à vous orienter",false,work_right,b1,"B1+ - Je suis à l'aise en français","B1+ - I am comfortable in French",📙,"b1,level_3,job_ready",,
work_right,choice,"Avez-vous le droit de travailler en France ?","Do you have the right to work in France?","Titre de séjour avec autorisation de travail",false,barriers,yes,"Oui","Yes",✅,work_permit,,
work_right,choice,"Avez-vous le droit de travailler en France ?","Do you have the right to work in France?","Titre de séjour avec autorisation de travail",false,barriers,no,"Non","No",❌,"no_work_permit,needs_admin",,
work_right,choice,"Avez-vous le droit de travailler en France ?","Do you have the right to work in France?","Titre de séjour avec autorisation de travail",false,barriers,unknown,"Je ne sais pas","I don't know",❓,"status_unknown,needs_admin",,
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,childcare,"Garde d'enfants","Childcare",👶,barrier_childcare,,"Après barriers → routing dynamique par route"
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,transport,"Transport / mobilité","Transport / mobility",🚗,barrier_transport,,
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,health,"Santé","Health",🏥,barrier_health,,
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,housing,"Logement","Housing",🏠,barrier_housing,,
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,admin,"Administratif (papiers)","Administrative (papers)",📋,barrier_admin,,
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,schedule,"Contraintes horaires","Schedule constraints",⏰,barrier_schedule,,
barriers,multiChoice,"Avez-vous des difficultés à lever ?","Do you have any challenges to overcome?","Sélectionnez tout ce qui s'applique",false,,none,"Aucun frein","No barriers",✅,no_barriers,,
sector_satisfaction,choice,"Souhaitez-vous continuer dans votre secteur d'activité ou vous reconvertir ?","Do you want to continue in your field or switch careers?","Si vous souhaitez changer de métier, nous vous orienterons vers une formation",false,,continue,"Continuer dans mon secteur","Continue in my field",✅,"sector_satisfied,no_reconversion",target_sector,"Route C uniquement. continue → emploi direct"
sector_satisfaction,choice,"Souhaitez-vous continuer dans votre secteur d'activité ou vous reconvertir ?","Do you want to continue in your field or switch careers?","Si vous souhaitez changer de métier, nous vous orienterons vers une formation",false,,reconvert,"Me reconvertir dans un autre secteur","Switch to a different field",🔄,"wants_reconversion,career_change",target_sector,"Route C → bascule vers Route B (formation)"
fle_type,choice,"Quel type de cours de français vous intéresse ?","What type of French course interests you?",,false,fle_format,general,"Français général (vie quotidienne)","General French (daily life)",📚,fle_general,,"Route A uniquement"
fle_type,choice,"Quel type de cours de français vous intéresse ?","What type of French course interests you?",,false,fle_format,professional,"Français professionnel (pour le travail)","Professional French (for work)",💼,"fle_pro,fos",,
fle_format,choice,"Quand préférez-vous suivre les cours ?","When do you prefer to take classes?",,false,contact_firstname,daytime,"En journée","During the day",☀️,daytime_classes,,
fle_format,choice,"Quand préférez-vous suivre les cours ?","When do you prefer to take classes?",,false,contact_firstname,evening,"Le soir","In the evening",🌙,evening_classes,,
fle_format,choice,"Quand préférez-vous suivre les cours ?","When do you prefer to take classes?",,false,contact_firstname,flexible,"Je suis flexible","I'm flexible",🔄,flexible_schedule,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,"logistique","Logistique / Entrepôt","Logistics / Warehouse",📦,sector_logistics,,"Réordonné par volume d'offres employeurs. Après target_sector: si reconvert → training_duration (Route B). Si continue → work_schedule (Route C). Si Route B/SAS → training_duration."
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,btp,"BTP / Travaux publics / Réseaux","Construction / Public works",🏗️,sector_btp,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,hotellerie,"Hôtellerie – Restauration / Métiers de bouche","Hospitality / Food industry",🏨,sector_hospitality,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,proprete,"Propreté / Hygiène","Cleaning / Hygiene",🧹,sector_cleaning,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,sante,"Santé – Médico-social / Aide à la personne","Health / Social care / Personal assistance",🤝,sector_care,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,commerce,"Commerce / Vente / Relation client","Retail / Sales / Customer relations",🏪,sector_commerce,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,transport,"Transport / Livraison / Mobilité","Transport / Delivery",🚚,sector_transport,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,securite,"Sécurité / Sûreté","Security / Safety",🛡️,sector_security,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,admin_accueil,"Administration / Accueil / Secrétariat","Administration / Reception / Office work",🏢,sector_admin,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,industrie,"Industrie / Production / Maintenance","Industry / Production / Maintenance",🏭,sector_industry,,
target_sector,choice,"Quel secteur vous intéresse ?","What sector interests you?","Métiers en tension – classés par volume d'offres",false,,transversal,"Transversal (tous secteurs)","Cross-sector (all sectors)",🔄,sector_transversal,,
training_duration,choice,"Quelle durée de formation pouvez-vous faire ?","How long can you train for?",,false,mobility,short,"Courte (1-2 mois)","Short (1-2 months)",⚡,training_short,,"Route B / reconversion uniquement"
training_duration,choice,"Quelle durée de formation pouvez-vous faire ?","How long can you train for?",,false,mobility,medium,"Moyenne (3-6 mois)","Medium (3-6 months)",📅,training_medium,,
training_duration,choice,"Quelle durée de formation pouvez-vous faire ?","How long can you train for?",,false,mobility,long,"Longue (6+ mois)","Long (6+ months)",📆,training_long,,
mobility,choice,"Quelle est votre mobilité géographique ?","What is your geographical mobility?",,false,funding_status,local,"Locale (< 30 km)","Local (< 30 km)",📍,mobility_local,,"Route B / reconversion uniquement"
mobility,choice,"Quelle est votre mobilité géographique ?","What is your geographical mobility?",,false,funding_status,regional,"Régionale (30-100 km)","Regional (30-100 km)",🗺️,mobility_regional,,
mobility,choice,"Quelle est votre mobilité géographique ?","What is your geographical mobility?",,false,funding_status,national,"Nationale","National",🇫🇷,mobility_national,,
funding_status,choice,"Avez-vous un financement pour la formation ?","Do you have funding for training?","France Travail, OPCO, Région, CPF...",false,contact_firstname,yes,"Oui, j'ai un financement","Yes, I have funding",✅,funding_confirmed,,"Route B / reconversion uniquement"
funding_status,choice,"Avez-vous un financement pour la formation ?","Do you have funding for training?","France Travail, OPCO, Région, CPF...",false,contact_firstname,pending,"C'est en cours","It's in progress",⏳,funding_pending,,
funding_status,choice,"Avez-vous un financement pour la formation ?","Do you have funding for training?","France Travail, OPCO, Région, CPF...",false,contact_firstname,no,"Non, pas encore","No, not yet",❓,funding_needed,,
funding_status,choice,"Avez-vous un financement pour la formation ?","Do you have funding for training?","France Travail, OPCO, Région, CPF...",false,contact_firstname,unknown,"Je ne sais pas","I don't know",🤷,funding_unknown,,
work_schedule,choice,"Quels horaires de travail acceptez-vous ?","What work schedule do you accept?",,false,mobility_km,standard,"Journée standard","Standard day",☀️,schedule_day,,"Route C emploi direct uniquement"
work_schedule,choice,"Quels horaires de travail acceptez-vous ?","What work schedule do you accept?",,false,mobility_km,flexible,"Horaires décalés (nuit/WE)","Flexible hours (night/weekend)",🌙,"schedule_flexible,night_ok,weekend_ok",,
work_schedule,choice,"Quels horaires de travail acceptez-vous ?","What work schedule do you accept?",,false,mobility_km,any,"Tout horaire","Any schedule",🔄,schedule_any,,
mobility_km,choice,"Quel rayon de déplacement acceptez-vous ?","What travel radius do you accept?",,false,immediate_availability,close,"< 10 km","< 10 km",🚶,radius_10km,,"Route C emploi direct uniquement"
mobility_km,choice,"Quel rayon de déplacement acceptez-vous ?","What travel radius do you accept?",,false,immediate_availability,medium,"10-30 km","10-30 km",🚌,radius_30km,,
mobility_km,choice,"Quel rayon de déplacement acceptez-vous ?","What travel radius do you accept?",,false,immediate_availability,far,"> 30 km","> 30 km",🚗,radius_30km_plus,,
immediate_availability,choice,"Êtes-vous disponible immédiatement ?","Are you available immediately?",,false,contact_firstname,yes,"Oui, immédiatement","Yes, immediately",✅,available_now,,"Route C emploi direct uniquement"
immediate_availability,choice,"Êtes-vous disponible immédiatement ?","Are you available immediately?",,false,contact_firstname,soon,"Dans 1-2 semaines","In 1-2 weeks",📅,available_soon,,
immediate_availability,choice,"Êtes-vous disponible immédiatement ?","Are you available immediately?",,false,contact_firstname,later,"Plus tard","Later",⏰,available_later,,
contact_firstname,text,"Quel est votre prénom ?","What is your first name?",,true,contact_lastname,,,,,,,"Contact (toutes routes)"
contact_lastname,text,"Quel est votre nom de famille ?","What is your last name?",,true,contact_email,,,,,,,
contact_email,email,"Quel est votre email ?","What is your email?","Pour recevoir votre orientation personnalisée",true,contact_phone,,,,,,,
contact_phone,text,"Quel est votre numéro de téléphone ?","What is your phone number?","Pour être contacté rapidement",false,,,,,,,,
